,serum,virus,replicate,nreplicates,ic10,ic10_bound,ic10_str,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic95,ic95_bound,ic95_str,ic97,ic97_bound,ic97_str,ic98,ic98_bound,ic98_str,ic99,ic99_bound,ic99_str,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
0,Clesrovimab IgG,RSV A Long,average,2,0.000296064,upper,<0.000296,0.0013959116543246614,interpolated,0.0014,0.006709569724930847,interpolated,0.00671,0.011443745880233945,interpolated,0.0114,0.016732136406408693,interpolated,0.0167,0.022519409167336697,interpolated,0.0225,0.03722228160372496,interpolated,0.0372,0.0013959116543246614,0.0013959116543246614,interpolated,1.3995175931897241,1.0,0.0,0.9879484508732705,0.03323138724745441
1,Clesrovimab IgG,RSV B B1,average,2,0.0004471020087500858,interpolated,0.000447,0.00247317363559976,interpolated,0.00247,0.013680519684814678,interpolated,0.0137,0.024475092607257134,interpolated,0.0245,0.03702289296629535,interpolated,0.037,0.05117047659869219,interpolated,0.0512,0.08846964244675784,interpolated,0.0885,0.00247317363559976,0.00247317363559976,interpolated,1.2845730566356979,1.0,0.0,0.9977403879561256,0.016281863384054164
2,Clesrovimab Fab,RSV A Long,average,2,0.005820519029542972,interpolated,0.00582,0.018153319158635516,interpolated,0.0182,0.05661745882156475,interpolated,0.0566,0.08335736501702004,interpolated,0.0834,0.10976785412994781,interpolated,0.11,0.13612578957279123,interpolated,0.136,0.1959118900174599,interpolated,0.196,0.018153319158635516,0.018153319158635516,interpolated,1.9316871713358648,1.0,0.0,0.9982603848701112,0.015601286599051942
3,Clesrovimab Fab,RSV B B1,average,2,0.009991454690143628,interpolated,0.00999,0.036790685881843005,interpolated,0.0368,0.13547122112175483,interpolated,0.135,0.21104004961467066,interpolated,0.211,0.28929812115897613,interpolated,0.289,0.3702160112486185,interpolated,0.37,0.5618992935258892,interpolated,0.562,0.036790685881843005,0.036790685881843005,interpolated,1.6856157345041944,1.0,0.0,0.9998239213296338,0.005363895323316771
4,1B6 IgG,RSV A Long,average,2,0.0005378793768434019,interpolated,0.000538,0.005136681217424019,interpolated,0.00514,0.04905466739454219,interpolated,0.0491,0.10566959708597028,interpolated,0.106,0.18242270312117823,interpolated,0.182,0.2795744325339267,interpolated,0.28,0.5756790624863467,interpolated,0.576,0.005136681217424019,0.005136681217424019,interpolated,0.9737191105834473,1.0,0.0,0.9953140480572094,0.024099950645242584
5,1B6 IgG,RSV B B1,average,2,0.0013709085066851224,interpolated,0.00137,0.008384148596946195,interpolated,0.00838,0.05127544788940487,interpolated,0.0513,0.09492032143227458,interpolated,0.0949,0.1471145585702539,interpolated,0.147,0.20723088963106528,interpolated,0.207,0.36998645812132563,interpolated,0.37,0.008384148596946195,0.008384148596946195,interpolated,1.2133535609838488,1.0,0.0,0.9982294186724253,0.016777216525354476
6,1B6 Fab,RSV A Long,average,2,0.08831086902298586,interpolated,0.0883,0.422655809800825,interpolated,0.423,2.022830660990264,interpolated,2.02,3.445078726380242,interpolated,3.45,5.0318918634294265,interpolated,5.03,6.766813553052815,interpolated,6.77,11.169495383057136,interpolated,11.2,0.422655809800825,0.422655809800825,interpolated,1.4033541801648672,1.0,0.0,0.9862548204500116,0.05134746369884383
7,1B6 Fab,RSV B B1,average,2,0.008044952532348307,interpolated,0.00804,0.034877313148781286,interpolated,0.0349,0.1512037476401466,interpolated,0.151,0.2489975178559943,interpolated,0.249,0.35508624225822616,interpolated,0.355,0.4686621598996216,interpolated,0.469,0.7494808749755135,interpolated,0.749,0.034877313148781286,0.034877313148781286,interpolated,1.4979799792712418,1.0,0.0,0.9992946087971579,0.010544978132852439
8,Nirsevimab IgG,RSV A Long,average,2,0.0011734899824611656,interpolated,0.00117,0.006835395759091416,interpolated,0.00684,0.03981511208592793,interpolated,0.0398,0.07249359610388019,interpolated,0.0725,0.11103874206458449,interpolated,0.111,0.15497750271222965,interpolated,0.155,0.2724112243372493,interpolated,0.272,0.006835395759091416,0.006835395759091416,interpolated,1.2469124700634366,1.0,0.0,0.9889489049011311,0.04299065912350849
9,Nirsevimab IgG,RSV B B1,average,2,0.002151192153146279,interpolated,0.00215,0.016504826548437924,interpolated,0.0165,0.12663178368124967,interpolated,0.127,0.2532113538345175,interpolated,0.253,0.4145806398947067,interpolated,0.415,0.6095941803014657,interpolated,0.61,1.1702928893602846,interpolated,1.17,0.016504826548437924,0.016504826548437924,interpolated,1.0783232708211794,1.0,0.0,0.9907300176789344,0.039556527006404066
