serum,virus,replicate,concentration (nM),fraction infectivity,date
Clesrovimab IgG,RSV A Long,1,6.667,7.55596E-05,2025.07.24
Clesrovimab IgG,RSV A Long,1,1.904857143,0.000148547,2025.07.24
Clesrovimab IgG,RSV A Long,1,0.544244898,0.000107998,2025.07.24
Clesrovimab IgG,RSV A Long,1,0.155498542,0.000371711,2025.07.24
Clesrovimab IgG,RSV A Long,1,0.044428155,0.001747611,2025.07.24
Clesrovimab IgG,RSV A Long,1,0.012693759,0.033960597,2025.07.24
Clesrovimab IgG,RSV A Long,1,0.003626788,0.140005236,2025.07.24
Clesrovimab IgG,RSV A Long,1,0.001036225,0.752159969,2025.07.24
Clesrovimab IgG,RSV A Long,1,0.000296064,0.88342715,2025.07.24
Clesrovimab IgG,RSV A Long,2,6.667,5.17312E-05,2025.07.24
Clesrovimab IgG,RSV A Long,2,1.904857143,6.67823E-05,2025.07.24
Clesrovimab IgG,RSV A Long,2,0.544244898,0.000115656,2025.07.24
Clesrovimab IgG,RSV A Long,2,0.155498542,0.000295523,2025.07.24
Clesrovimab IgG,RSV A Long,2,0.044428155,0.000915238,2025.07.24
Clesrovimab IgG,RSV A Long,2,0.012693759,0.020735698,2025.07.24
Clesrovimab IgG,RSV A Long,2,0.003626788,0.210891478,2025.07.24
Clesrovimab IgG,RSV A Long,2,0.001036225,0.561984553,2025.07.24
Clesrovimab IgG,RSV A Long,2,0.000296064,0.761781647,2025.07.24
Clesrovimab Fab,RSV A Long,1,500,0.000148294,2025.07.24
Clesrovimab Fab,RSV A Long,1,100,0.000114728,2025.07.24
Clesrovimab Fab,RSV A Long,1,20,8.72025E-05,2025.07.24
Clesrovimab Fab,RSV A Long,1,4,0.000236641,2025.07.24
Clesrovimab Fab,RSV A Long,1,0.8,0.000343848,2025.07.24
Clesrovimab Fab,RSV A Long,1,0.16,0.006869106,2025.07.24
Clesrovimab Fab,RSV A Long,1,0.032,0.297373148,2025.07.24
Clesrovimab Fab,RSV A Long,1,0.0064,1.027615626,2025.07.24
Clesrovimab Fab,RSV A Long,1,0.00128,0.78805568,2025.07.24
Clesrovimab Fab,RSV A Long,2,500,0.000126291,2025.07.24
Clesrovimab Fab,RSV A Long,2,100,0.000735294,2025.07.24
Clesrovimab Fab,RSV A Long,2,20,0.000155029,2025.07.24
Clesrovimab Fab,RSV A Long,2,4,0.000147732,2025.07.24
Clesrovimab Fab,RSV A Long,2,0.8,0.000352155,2025.07.24
Clesrovimab Fab,RSV A Long,2,0.16,0.013201617,2025.07.24
Clesrovimab Fab,RSV A Long,2,0.032,0.202514594,2025.07.24
Clesrovimab Fab,RSV A Long,2,0.0064,0.746070947,2025.07.24
Clesrovimab Fab,RSV A Long,2,0.00128,1.107431522,2025.07.24
Clesrovimab IgG,RSV B B1,1,6.667,0.001785595,2025.07.24
Clesrovimab IgG,RSV B B1,1,1.904857143,0.000107337,2025.07.24
Clesrovimab IgG,RSV B B1,1,0.544244898,0.000232429,2025.07.24
Clesrovimab IgG,RSV B B1,1,0.155498542,0.000590955,2025.07.24
Clesrovimab IgG,RSV B B1,1,0.044428155,0.002453601,2025.07.24
Clesrovimab IgG,RSV B B1,1,0.012693759,0.132328308,2025.07.24
Clesrovimab IgG,RSV B B1,1,0.003626788,0.4,2025.07.24
Clesrovimab IgG,RSV B B1,1,0.001036225,0.816750419,2025.07.24
Clesrovimab IgG,RSV B B1,1,0.000296064,0.974874372,2025.07.24
Clesrovimab IgG,RSV B B1,2,6.667,6.82077E-05,2025.07.24
Clesrovimab IgG,RSV B B1,2,1.904857143,0.000206499,2025.07.24
Clesrovimab IgG,RSV B B1,2,0.544244898,0.00019062,2025.07.24
Clesrovimab IgG,RSV B B1,2,0.155498542,0.000761809,2025.07.24
Clesrovimab IgG,RSV B B1,2,0.044428155,0.010525963,2025.07.24
Clesrovimab IgG,RSV B B1,2,0.012693759,0.139966499,2025.07.24
Clesrovimab IgG,RSV B B1,2,0.003626788,0.315577889,2025.07.24
Clesrovimab IgG,RSV B B1,2,0.001036225,0.733668342,2025.07.24
Clesrovimab IgG,RSV B B1,2,0.000296064,0.862981575,2025.07.24
Clesrovimab Fab,RSV B B1,1,500,0.000118693,2025.07.24
Clesrovimab Fab,RSV B B1,1,100,0.000440623,2025.07.24
Clesrovimab Fab,RSV B B1,1,20,0.000642028,2025.07.24
Clesrovimab Fab,RSV B B1,1,4,0.001075748,2025.07.24
Clesrovimab Fab,RSV B B1,1,0.8,0.007171655,2025.07.24
Clesrovimab Fab,RSV B B1,1,0.16,0.069089798,2025.07.24
Clesrovimab Fab,RSV B B1,1,0.032,0.63164325,2025.07.24
Clesrovimab Fab,RSV B B1,1,0.0064,0.877214417,2025.07.24
Clesrovimab Fab,RSV B B1,1,0.00128,1.039706781,2025.07.24
Clesrovimab Fab,RSV B B1,2,500,0.005928528,2025.07.24
Clesrovimab Fab,RSV B B1,2,100,0.000377581,2025.07.24
Clesrovimab Fab,RSV B B1,2,20,0.001192425,2025.07.24
Clesrovimab Fab,RSV B B1,2,4,0.002381185,2025.07.24
Clesrovimab Fab,RSV B B1,2,0.8,0.004047037,2025.07.24
Clesrovimab Fab,RSV B B1,2,0.16,0.073854612,2025.07.24
Clesrovimab Fab,RSV B B1,2,0.032,0.492547343,2025.07.24
Clesrovimab Fab,RSV B B1,2,0.0064,1.002443494,2025.07.24
Clesrovimab Fab,RSV B B1,2,0.00128,0.97251069,2025.07.24
1B6 IgG,RSV A Long,1,6.667,6.54125E-05,2026.05.02
1B6 IgG,RSV A Long,1,1.905,0.000105307,2026.05.02
1B6 IgG,RSV A Long,1,0.5442,0.000224614,2026.05.02
1B6 IgG,RSV A Long,1,0.1555,0.001184656,2026.05.02
1B6 IgG,RSV A Long,1,0.04443,0.090972149,2026.05.02
1B6 IgG,RSV A Long,1,0.01269,0.317057278,2026.05.02
1B6 IgG,RSV A Long,1,0.003627,0.550289017,2026.05.02
1B6 IgG,RSV A Long,1,0.001036,0.827745665,2026.05.02
1B6 IgG,RSV A Long,1,0.0002961,0.897530215,2026.05.02
1B6 IgG,RSV A Long,2,6.667,9.86232E-05,2026.05.02
1B6 IgG,RSV A Long,2,1.905,0.000109259,2026.05.02
1B6 IgG,RSV A Long,2,0.5442,0.000155292,2026.05.02
1B6 IgG,RSV A Long,2,0.1555,0.007083552,2026.05.02
1B6 IgG,RSV A Long,2,0.04443,0.091812927,2026.05.02
1B6 IgG,RSV A Long,2,0.01269,0.261313715,2026.05.02
1B6 IgG,RSV A Long,2,0.003627,0.691119285,2026.05.02
1B6 IgG,RSV A Long,2,0.001036,0.786547556,2026.05.02
1B6 IgG,RSV A Long,2,0.0002961,0.893326327,2026.05.02
1B6 Fab,RSV A Long,1,500,0.000113547,2026.05.02
1B6 Fab,RSV A Long,1,100,0.000136879,2026.05.02
